,id,num_orders
0,1028232,153.275
1,1262649,153.25
2,1453211,108.725
3,1262599,152.15
4,1495848,142.85
5,1342607,144.7
6,1358429,126.05
7,1475006,148.175
8,1009709,167.4
9,1127204,164.85
10,1454285,105.825
11,1230213,187.75
12,1216199,177.775
13,1338024,157.475
14,1316220,170.975
15,1261077,161.675
16,1499021,119.825
17,1384202,138.275
18,1327954,159.325
19,1212707,167.75
20,1313597,176.15
21,1412241,180.975
22,1082698,56.425
23,1308392,112.675
24,1199853,122.025
25,1022140,118.65
26,1352470,115.45
27,1189345,47.95
28,1490265,66.65
29,1348230,51.625
30,1400926,29.975
31,1383499,58.775
32,1126038,63.525
33,1286555,62.1
34,1375120,62.725
35,1159696,68.425
36,1088236,71.925
37,1217593,58.0
38,1136291,58.875
39,1317437,35.4
40,1284113,269.975
41,1182008,251.575
42,1065218,217.7
43,1405233,276.225
44,1275037,247.2
45,1474230,285.8
46,1215183,186.925
47,1435232,266.275
48,1143903,314.45
49,1358874,243.05
50,1197966,308.075
51,1108691,328.525
52,1407227,347.525
53,1156240,345.725
54,1359242,352.85
55,1101112,316.425
56,1396786,325.45
57,1214504,338.6
58,1305039,301.25
59,1066722,334.975
60,1132739,239.825
61,1010460,196.0
62,1195857,194.925
63,1247979,408.35
64,1035595,382.65
65,1069260,377.825
66,1094702,393.875
67,1240856,175.975
68,1007680,193.425
69,1426661,205.35
70,1057981,105.375
71,1297433,76.15
72,1064848,124.925
73,1323764,95.15
74,1020465,119.5
75,1332048,50.825
76,1089745,103.375
77,1310777,83.75
78,1455214,130.95
79,1189682,72.1
80,1095932,125.05
81,1086204,72.75
82,1347932,131.05
83,1323389,140.25
84,1360373,102.7
85,1369485,157.275
86,1156482,108.2
87,1473466,87.35
88,1107803,165.35
89,1361421,80.675
90,1454421,141.125
91,1483482,130.15
92,1006934,162.5
93,1337295,161.925
94,1331277,142.8
95,1444811,116.05
96,1103642,234.75
97,1182198,125.75
98,1497051,169.65
99,1488795,157.125
100,1149765,274.175
101,1225876,272.55
102,1415546,333.2
103,1078113,222.8
104,1490342,2136.525
105,1143538,1995.725
106,1342267,250.7
107,1442839,174.325
108,1137292,1490.15
109,1394848,806.65
110,1166964,393.625
111,1246650,383.175
112,1436167,358.4
113,1354222,360.775
114,1135520,393.2
115,1087917,388.425
116,1025372,326.7
117,1105223,478.95
118,1119382,389.6
119,1412980,332.175
120,1010949,302.325
121,1257911,252.825
122,1155840,297.625
123,1005910,270.575
124,1268420,532.025
125,1499109,654.5
126,1022495,301.425
127,1050999,306.225
128,1481138,255.1
129,1388481,228.475
130,1409575,33.675
131,1125328,17.95
132,1216882,15.225
133,1181616,19.9
134,1197754,20.825
135,1341473,59.3
136,1183839,22.375
137,1412036,33.5
138,1294587,19.15
139,1207154,21.1
140,1456020,314.725
141,1204510,277.45
142,1420426,324.0
143,1467938,424.075
144,1466987,295.7
145,1260987,252.025
146,1136679,217.575
147,1334365,266.7
148,1424034,294.325
149,1080646,226.175
150,1264395,164.15
151,1199994,606.75
152,1264068,156.625
153,1102366,204.125
154,1411928,136.6
155,1302832,143.475
156,1430125,2209.3
157,1179547,1943.2
158,1432135,152.825
159,1423780,149.975
160,1472931,127.825
161,1484697,1494.55
162,1160231,163.525
163,1104329,163.6
164,1176781,151.2
165,1399279,199.25
166,1016676,2270.0
167,1212768,1373.35
168,1401817,167.125
169,1076968,146.3
170,1412015,106.55
171,1176447,76.25
172,1253823,133.45
173,1494779,119.55
174,1036773,118.775
175,1208909,140.425
176,1248167,137.875
177,1392970,127.5
178,1444295,103.925
179,1461229,144.475
180,1183783,130.975
181,1343779,130.9
182,1335558,147.35
183,1221537,138.95
184,1081323,102.85
185,1389983,121.675
186,1261113,146.175
187,1387450,118.25
188,1338940,169.7
189,1014564,174.525
190,1206185,195.025
191,1392612,200.325
192,1309171,174.8
193,1126294,178.15
194,1339737,110.1
195,1337158,141.725
196,1429763,95.775
197,1092832,182.825
198,1066511,105.175
199,1485914,119.15
200,1299729,100.45
201,1460115,115.25
202,1299132,99.675
203,1137246,142.975
204,1251637,126.975
205,1221233,90.375
206,1151884,86.7
207,1187774,96.075
208,1156979,89.475
209,1345389,133.55
210,1388295,136.25
211,1209508,91.525
212,1476668,136.5
213,1413395,154.225
214,1225315,170.2
215,1035195,112.375
216,1313839,105.275
217,1230384,109.05
218,1056205,121.0
219,1006833,146.7
220,1406361,152.175
221,1308035,144.725
222,1018667,135.25
223,1360589,187.725
224,1387284,191.775
225,1037113,145.225
226,1216798,135.85
227,1413073,147.525
228,1418176,154.85
229,1174921,38.425
230,1234400,20.375
231,1394502,134.4
232,1200823,92.0
233,1275837,28.125
234,1041452,42.075
235,1175393,41.15
236,1120564,20.375
237,1002584,122.7
238,1369039,105.45
239,1337552,19.25
240,1165405,33.2
241,1492488,33.825
242,1152412,23.975
243,1489262,29.825
244,1116102,24.85
245,1086847,34.625
246,1348070,37.05
247,1241177,31.9
248,1413177,35.5
249,1180550,25.325
250,1497398,27.625
251,1439873,28.825
252,1109486,28.85
253,1253988,43.3
254,1295721,41.875
255,1126045,52.425
256,1300636,29.825
