id,num_orders
1028232,353.568
1262649,353.568
1453211,353.568
1262599,353.568
1495848,351.8759
1342607,340.86227
1358429,353.568
1475006,351.8759
1009709,353.568
1127204,95.08691
1454285,96.77902
1230213,96.77902
1216199,96.77902
1338024,86.20462
1316220,96.77902
1261077,96.77902
1499021,82.95425
1384202,96.77902
1327954,96.77902
1212707,159.7736
1313597,154.12854
1412241,154.12854
1082698,43.994736
1308392,109.51384
1199853,87.76124
1022140,87.76124
1352470,90.09162
1189345,33.815372
1490265,43.994736
1348230,33.815372
1400926,15.691333
1383499,0
1126038,0
1286555,0
1375120,0
1159696,0
1088236,0
1217593,0
1136291,0
1317437,15.691333
1284113,288.73813
1182008,266.67197
1065218,292.41226
1405233,288.73813
1275037,273.0583
1474230,273.0583
1215183,210.71504
1435232,239.11629
1143903,224.8667
1358874,231.40771
1197966,303.67126
1108691,299.99713
1407227,303.67126
1156240,278.59476
1359242,274.92062
1101112,278.59476
1396786,299.99713
1214504,290.57828
1305039,274.61072
1066722,290.57828
1132739,299.3573
1010460,302.28555
1195857,311.30032
1247979,255.8615
1035595,412.22226
1069260,322.34686
1094702,412.22226
1240856,302.28555
1007680,304.44818
1426661,217.99596
1057981,131.29836
1297433,121.79554
1064848,94.57042
1323764,94.57042
1020465,94.57042
1332048,97.64278
1089745,121.79554
1310777,94.57042
1455214,94.57042
1189682,94.57042
1095932,123.43959
1086204,123.43959
1347932,123.43959
1323389,123.43959
1360373,123.43959
1369485,123.43959
1156482,132.9424
1473466,123.43959
1107803,123.43959
1361421,123.43959
1454421,120.51412
1483482,120.51412
1006934,184.48509
1337295,184.48509
1331277,184.48509
1444811,120.51412
1103642,164.78535
1182198,184.48509
1497051,121.90125
1488795,184.48509
1149765,152.66475
1225876,152.66475
1415546,174.80403
1078113,85.747955
1490342,1387.1288
1143538,1209.8872
1342267,152.66475
1442839,152.66475
1137292,1338.8605
1394848,808.4514
1166964,308.79346
1246650,308.79346
1436167,308.79346
1354222,308.79346
1135520,308.79346
1087917,308.79346
1025372,308.79346
1105223,308.79346
1119382,308.79346
1412980,308.79346
1010949,266.85846
1257911,266.85846
1155840,266.85846
1005910,338.98654
1268420,758.869
1499109,806.72125
1022495,262.12558
1050999,266.85846
1481138,233.17406
1388481,266.85846
1409575,0
1125328,0
1216882,0
1181616,0
1197754,0
1341473,0
1183839,0
1412036,0
1294587,0
1207154,0
1456020,233.31831
1204510,233.31831
1420426,260.99677
1467938,260.99677
1466987,233.31831
1260987,233.31831
1136679,233.31831
1334365,233.31831
1424034,233.31831
1080646,233.31831
1264395,286.72284
1199994,1191.0858
1264068,291.371
1102366,401.66748
1411928,285.89114
1302832,281.24298
1430125,1989.7222
