,id,num_orders
0,1028232,133.87
1,1262649,154.92
2,1453211,94.84
3,1262599,165.96
4,1495848,101.87
5,1342607,128.76
6,1358429,127.47
7,1475006,103.45
8,1009709,138.16
9,1127204,158.73
10,1454285,112.63
11,1230213,157.98
12,1216199,158.37
13,1338024,153.42
14,1316220,143.39
15,1261077,164.58
16,1499021,118.01
17,1384202,123.46
18,1327954,136.26
19,1212707,188.65
20,1313597,184.12
21,1412241,167.59
22,1082698,44.78
23,1308392,65.45
24,1199853,82.4
25,1022140,92.56
26,1352470,79.91
27,1189345,52.98
28,1490265,51.91
29,1348230,44.17
30,1400926,48.47
31,1383499,61.34
32,1126038,58.96
33,1286555,60.65
34,1375120,72.17
35,1159696,73.52
36,1088236,66.21
37,1217593,44.34
38,1136291,50.13
39,1317437,38.95
40,1284113,252.63
41,1182008,202.54
42,1065218,227.01
43,1405233,217.8
44,1275037,174.01
45,1474230,171.85
46,1215183,148.23
47,1435232,310.39
48,1143903,313.77
49,1358874,231.38
50,1197966,319.77
51,1108691,282.97
52,1407227,322.94
53,1156240,288.89
54,1359242,301.35
55,1101112,248.59
56,1396786,312.8
57,1214504,320.24
58,1305039,298.42
59,1066722,391.87
60,1132739,224.15
61,1010460,172.98
62,1195857,188.86
63,1247979,335.29
64,1035595,350.92
65,1069260,301.4
66,1094702,358.9
67,1240856,185.75
68,1007680,180.29
69,1426661,236.91
70,1057981,99.81
71,1297433,95.77
72,1064848,96.52
73,1323764,83.47
74,1020465,77.73
75,1332048,61.41
76,1089745,127.23
77,1310777,88.96
78,1455214,143.9
79,1189682,71.92
80,1095932,132.79
81,1086204,70.55
82,1347932,149.36
83,1323389,149.64
84,1360373,118.17
85,1369485,146.72
86,1156482,129.86
87,1473466,117.9
88,1107803,150.87
89,1361421,84.2
90,1454421,131.72
91,1483482,148.61
92,1006934,183.69
93,1337295,162.39
94,1331277,143.58
95,1444811,138.44
96,1103642,229.77
97,1182198,142.94
98,1497051,112.47
99,1488795,175.66
100,1149765,263.17
101,1225876,262.97
102,1415546,330.76
103,1078113,203.0
104,1490342,597.22
105,1143538,639.38
106,1342267,256.94
107,1442839,196.16
108,1137292,734.26
109,1394848,571.31
110,1166964,399.87
111,1246650,387.95
112,1436167,361.85
113,1354222,387.99
114,1135520,412.79
115,1087917,380.88
116,1025372,321.68
117,1105223,474.23
118,1119382,410.8
119,1412980,337.25
120,1010949,293.67
121,1257911,254.3
122,1155840,298.63
123,1005910,280.22
124,1268420,401.41
125,1499109,463.83
126,1022495,337.36
127,1050999,324.37
128,1481138,265.85
129,1388481,276.65
130,1409575,39.04
131,1125328,17.73
132,1216882,17.35
133,1181616,21.41
134,1197754,18.36
135,1341473,24.54
136,1183839,24.28
137,1412036,30.47
138,1294587,18.7
139,1207154,19.8
140,1456020,312.51
141,1204510,272.44
142,1420426,327.07
143,1467938,334.47
144,1466987,314.78
145,1260987,240.99
146,1136679,285.35
147,1334365,267.41
148,1424034,311.35
149,1080646,218.63
150,1264395,176.65
151,1199994,453.88
152,1264068,166.23
153,1102366,129.07
154,1411928,148.95
155,1302832,166.92
156,1430125,844.55
157,1179547,594.72
158,1432135,171.03
159,1423780,173.9
160,1472931,157.17
161,1484697,662.03
162,1160231,156.87
163,1104329,177.12
164,1176781,141.72
165,1399279,184.74
166,1016676,672.47
167,1212768,413.11
168,1401817,165.36
169,1076968,165.09
170,1412015,112.78
171,1176447,87.21
172,1253823,130.72
173,1494779,127.79
174,1036773,112.73
175,1208909,162.0
176,1248167,133.22
177,1392970,131.54
178,1444295,97.79
179,1461229,149.26
180,1183783,150.08
181,1343779,130.28
182,1335558,141.16
183,1221537,152.08
184,1081323,124.38
185,1389983,128.59
186,1261113,156.48
187,1387450,106.03
188,1338940,181.54
189,1014564,165.39
190,1206185,170.51
191,1392612,184.75
192,1309171,220.29
193,1126294,164.26
194,1339737,116.37
195,1337158,117.91
196,1429763,131.2
197,1092832,182.09
198,1066511,131.48
199,1485914,101.24
200,1299729,98.83
201,1460115,99.3
202,1299132,101.64
203,1137246,146.63
204,1251637,149.99
205,1221233,90.28
206,1151884,102.38
207,1187774,83.13
208,1156979,95.09
209,1345389,121.43
210,1388295,111.91
211,1209508,105.11
212,1476668,114.3
213,1413395,151.2
214,1225315,147.93
215,1035195,105.31
216,1313839,120.68
217,1230384,130.39
218,1056205,96.55
219,1006833,166.72
220,1406361,240.72
221,1308035,197.93
222,1018667,154.72
223,1360589,167.21
224,1387284,156.31
225,1037113,164.06
226,1216798,187.92
227,1413073,204.79
228,1418176,198.01
229,1174921,21.02
230,1234400,16.27
231,1394502,147.36
232,1200823,66.78
233,1275837,22.65
234,1041452,45.57
235,1175393,20.34
236,1120564,22.45
237,1002584,96.92
238,1369039,100.24
239,1337552,19.39
240,1165405,29.11
241,1492488,30.89
242,1152412,26.87
243,1489262,32.12
244,1116102,25.32
245,1086847,37.53
246,1348070,51.21
247,1241177,42.38
248,1413177,48.56
249,1180550,26.2
250,1497398,25.56
251,1439873,30.06
252,1109486,29.06
253,1253988,45.08
254,1295721,49.1
255,1126045,54.32
256,1300636,28.84
257,1384325,25.17
258,1401376,31.46
259,1363486,23.52
260,1425117,24.76
261,1325405,42.94
262,1391577,24.37
